"TmStamp","Total_Precip_mm","Device","Correlation","Comment"
20100501,0,"LPM","NO",NA
20100502,10.75,"LPM","NO",NA
20100503,7.54,"LPM","NO",NA
20100504,3.7,"LPM","NO",NA
20100505,0,"LPM","NO",NA
20100506,2.7,"LPM","NO",NA
20100507,0,"LPM","NO",NA
20100508,8.13,"LPM","NO",NA
20100509,0.01,"LPM","NO",NA
20100510,0,"LPM","NO",NA
20100511,29.29,"LPM","NO",NA
20100512,3.69,"LPM","NO",NA
20100513,0.01,"LPM","NO",NA
20100514,2.95,"LPM","NO",NA
20100515,0,"LPM","NO",NA
20100516,0.03,"LPM","NO",NA
20100517,3.38,"LPM","NO",NA
20100518,5.12,"LPM","NO",NA
20100519,0.03,"LPM","NO",NA
20100520,0.01,"LPM","NO",NA
20100521,0,"LPM","NO",NA
20100522,15.41,"LPM","NO",NA
20100523,6.32,"LPM","NO",NA
20100524,0.05,"LPM","NO",NA
20100525,0.07,"LPM","NO",NA
20100526,0,"LPM","NO",NA
20100527,0,"LPM","NO",NA
20100528,0.49,"LPM","NO",NA
20100529,0,"LPM","NO",NA
20100530,0,"LPM","NO",NA
20100531,1.26,"LPM","NO",NA
20100601,3.08,"LPM","NO",NA
20100602,0.01,"LPM","NO",NA
20100603,0,"LPM","NO",NA
20100604,0.4,"LPM","NO",NA
20100605,1.89,"LPM","NO",NA
20100606,1.05,"LPM","NO",NA
20100607,0,"LPM","NO",NA
20100608,0,"LPM","NO",NA
20100609,39.31,"LPM","NO",NA
20100610,0,"LPM","NO",NA
20100611,0,"LPM","NO",NA
20100612,0.21,"LPM","NO",NA
20100613,5.29,"LPM","NO",NA
20100614,0.09,"LPM","NO",NA
20100615,0.18,"LPM","NO",NA
20100616,1.05,"LPM","NO",NA
20100617,0,"LPM","NO",NA
20100618,0,"LPM","NO",NA
20100619,0.43,"LPM","NO",NA
20100620,0,"LPM","NO",NA
20100621,0,"LPM","NO",NA
20100622,4.49,"LPM","NO",NA
20100623,0.42,"LPM","NO",NA
20100624,0.09,"LPM","NO",NA
20100625,0,"LPM","NO",NA
20100626,0,"LPM","NO",NA
20100627,10.34,"LPM","NO",NA
20100628,1.39,"LPM","NO",NA
20100629,0,"LPM","NO",NA
20100630,0,"LPM","NO",NA
20100701,0,"LPM","NO",NA
20100702,0,"LPM","NO",NA
20100703,0,"LPM","NO",NA
20100704,0,"LPM","NO",NA
20100705,0,"LPM","NO",NA
20100706,0,"LPM","NO",NA
20100707,0,"LPM","NO",NA
20100708,0,"LPM","NO",NA
20100709,37.92,"LPM","NO",NA
20100710,0.19,"LPM","NO",NA
20100711,0,"LPM","NO",NA
20100712,7.95,"LPM","NO",NA
20100713,4.01,"LPM","NO",NA
20100714,9.25,"LPM","NO",NA
20100715,0,"LPM","NO",NA
20100716,4.87,"LPM","NO",NA
20100717,0.03,"LPM","NO",NA
20100718,0.03,"LPM","NO",NA
20100719,0.01,"LPM","NO",NA
20100720,4.59,"LPM","NO",NA
20100721,7.61,"LPM","NO",NA
20100722,0,"LPM","NO",NA
20100723,0.01,"LPM","NO",NA
20100724,0.08,"LPM","NO",NA
20100725,2.01,"LPM","NO",NA
20100726,0,"LPM","NO",NA
20100727,0,"LPM","NO",NA
20100728,0.01,"LPM","NO",NA
20100729,3.12,"LPM","NO",NA
20100730,0,"LPM","NO",NA
20100731,0,"LPM","NO",NA
20100801,0.03,"LPM","NO",NA
20100802,0,"LPM","NO",NA
20100803,1.22,"LPM","NO",NA
20100804,2.1,"LPM","NO",NA
20100805,0.16,"LPM","NO",NA
20100806,1.99,"LPM","NO",NA
20100807,0,"LPM","NO",NA
20100808,0,"LPM","NO",NA
20100809,0,"LPM","NO",NA
20100810,0,"LPM","NO",NA
20100811,0,"LPM","NO",NA
20100812,17.38,"LPM","NO",NA
20100813,0.57,"LPM","NO",NA
20100814,0,"LPM","NO",NA
20100815,9.24,"LPM","NO",NA
20100816,0,"LPM","NO",NA
20100817,0,"LPM","NO",NA
20100818,0,"LPM","NO",NA
20100819,0,"LPM","NO",NA
20100820,0,"LPM","NO",NA
20100821,4.35,"LPM","NO",NA
20100822,47.41,"LPM","NO",NA
20100823,2,"LPM","NO",NA
20100824,0.53,"LPM","NO",NA
20100825,0.85,"LPM","NO",NA
20100826,0.12,"LPM","NO",NA
20100827,0.95,"LPM","NO",NA
20100828,0,"LPM","NO",NA
20100829,0,"LPM","NO",NA
20100830,0,"LPM","NO",NA
20100831,0,"LPM","NO",NA
20100901,0,"LPM","NO",NA
20100902,0,"LPM","NO",NA
20100903,0.06,"LPM","NO",NA
20100904,0,"LPM","NO",NA
20100905,0,"LPM","NO",NA
20100906,0,"LPM","NO",NA
20100907,0.02,"LPM","NO",NA
20100908,0,"LPM","NO",NA
20100909,0,"LPM","NO",NA
20100910,0.02,"LPM","NO",NA
20100911,2.02,"LPM","NO",NA
20100912,4.59,"LPM","NO",NA
20100913,0.03,"LPM","NO",NA
20100914,0,"LPM","NO",NA
20100915,0,"LPM","NO",NA
20100916,25.6,"LPM","NO",NA
20100917,0.49,"LPM","NO",NA
20100918,0.06,"LPM","NO",NA
20100919,0.21,"LPM","NO",NA
20100920,0,"LPM","NO",NA
20100921,0,"LPM","NO",NA
20100922,0.13,"LPM","NO",NA
20100923,0,"LPM","NO",NA
20100924,0,"LPM","NO",NA
20100925,0,"LPM","NO",NA
20100926,0.07,"LPM","NO",NA
20100927,23.74,"LPM","NO",NA
20100928,4.76,"LPM","NO",NA
20100929,0.11,"LPM","NO",NA
20100930,71.02,"LPM","NO",NA
20101001,3.15,"LPM","NO",NA
20101002,0,"LPM","NO",NA
20101003,0.8,"LPM","NO",NA
20101004,5.39,"LPM","NO",NA
20101005,2.13,"LPM","NO",NA
20101006,1.53,"LPM","NO",NA
20101007,0.14,"LPM","NO",NA
20101008,0,"LPM","NO",NA
20101009,0.69,"LPM","NO",NA
20101010,0,"LPM","NO",NA
20101011,0.8,"LPM","YES",NA
20101012,5.24,"LPM","YES",NA
20101013,0.4,"LPM","YES",NA
20101014,1.48,"LPM","YES",NA
20101015,0.48,"LPM","YES",NA
20101016,0.07,"LPM","YES",NA
20101017,0,"LPM","YES",NA
20101018,0.87,"LPM","YES",NA
20101019,1.59,"LPM","YES",NA
20101020,0,"LPM","YES",NA
20101021,0.08,"LPM","YES",NA
20101022,0.7,"LPM","YES",NA
20101023,0,"LPM","YES",NA
20101024,0,"LPM","YES",NA
20101025,2.68,"LPM","YES",NA
20101026,0,"LPM","YES",NA
20101027,9.4,"LPM","YES",NA
20101028,0,"LPM","YES",NA
20101029,0.14,"LPM","YES",NA
20101030,0,"LPM","YES",NA
20101031,0,"LPM","YES",NA
20101101,0,"LPM","YES",NA
20101102,0,"LPM","YES",NA
20101103,0,"LPM","YES",NA
20101104,10.68,"LPM","YES",NA
20101105,1.49,"LPM","YES",NA
20101106,0.16,"LPM","YES",NA
20101107,0,"LPM","YES",NA
20101108,0,"LPM","YES",NA
20101109,0,"LPM","YES",NA
20101110,0,"LPM","YES",NA
20101111,0,"LPM","YES",NA
20101112,0,"LPM","YES",NA
20101113,0,"LPM","YES",NA
20101114,0.29,"LPM","YES",NA
20101115,1.42,"LPM","YES",NA
20101116,13.59,"LPM","YES",NA
